RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-ND,BS202204080048069,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONSTRUCT OSP,ND-CPE-NC,08-APR-22
R-ND,BS202204070097659,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONSTRUCT OSP,ND-CPE-NC,07-APR-22
R-ND,KIR202203190027858,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RECONSTRUCT OSP,ND-CNR,21-MAR-22
R-ND,ND202203070021046,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,RESOLVE CONST ISSUE,ND-CNR,14-MAR-22
R-ND,ND202008280043415,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,29-AUG-20
R-ND,ND202203230000658,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,25-MAR-22
R-ND,ND202204050045422,AB-FTTH,CREATE,T<=7D,CONSTRUCT OSP,ND-CPE-NC,05-APR-22
R-ND,ND202201050085052,AB-FTTH,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-SME-WPC1-ACCM,07-JAN-22
R-ND,KAU202107180054793,AB-FTTH,CREATE,T>1M,IDENTIFY FACILITIES,SALES-ENT-GOV-ACCM,18-JUL-21
R-ND,BS202204070016317,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,INST ONT & REP STB,ND-CPE-NC,08-APR-22
R-ND,GNA202203310084757,AB-FTTH,CREATE,7D<T<=10D,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,05-APR-22
R-ND,ND202002130021467,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,17-FEB-20
R-ND,GNA202203160058074,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,21-MAR-22
R-ND,BS202204080041908,AB-FTTH,CREATE,T<=7D,CONSTRUCT OSP,ND-CPE-NC,08-APR-22
R-ND,ND202204060065248,AB-FTTH,MODIFY-LOCATION,T<=7D,INSTALL ONT,ND-CPE-NC,08-APR-22
R-ND,BS202204050039217,AB-FTTH,CREATE-OR,T<=7D,CONSTRUCT OSP,ND-CPE-NC,05-APR-22
R-ND,GNA202002220029264,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,03-MAR-20
R-ND,BS202002240070503,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,04-MAR-20
R-ND,KAU202203220088604,AB-FTTH,CREATE,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,27-MAR-22
R-ND,ND202204020062586,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,RESOLVE CONST ISSUE,ND-CNR,06-APR-22
R-ND,ND202001280086207,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,30-JAN-20
R-ND,ND202202170094700,AB-FTTH,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-ENT-LB-ACCM,23-FEB-22
R-ND,GNA202101080033926,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,06-FEB-21
R-ND,ND202203230095970,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,25-MAR-22
R-ND,ND202203300057014,AB-FTTH,CREATE,7D<T<=10D,RESOLVE CONST ISSUE,SALES-SME-WPC1-ACCM,05-APR-22
R-ND,ND202203090097511,AB-FTTH,CREATE,T>1M,RESOLVE CONST ISSUE,ND-CNR,09-MAR-22
R-ND,ND202203070012967,AB-FTTH,CREATE,T>1M,RESOLVE CONST ISSUE,ND-CNR,13-MAR-22
R-ND,ND202204080045692,AB-FTTH,CREATE,T<=7D,ASSIGN ONT,ND-CPE-NC,08-APR-22
R-ND,ND202012020033124,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,04-DEC-20
R-ND,ND202203310090619,AB-FTTH,CREATE-UPGRD SAME NO,7D<T<=10D,RESOLVE CONST ISSUE,ND-CNR,02-APR-22
R-ND,ND202002160075957,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,24-FEB-20
R-ND,GNA202203310091541,AB-FTTH,CREATE-UPGRD SAME NO,7D<T<=10D,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,06-APR-22
R-ND,ND202203290023298,AB-FTTH,CREATE-UPGRD SAME NO,7D<T<=10D,RESERVE PORT,ND-CNR,29-MAR-22
R-ND,BS202204040094063,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONSTRUCT OSP,ND-CPE-NC,04-APR-22
R-ND,KIR202002140051702,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,18-FEB-20
R-ND,BS202002100032973,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,12-FEB-20
R-ND,ND201910050026334,AB-FTTH,CREATE-OR,T>1M,RECONSTRUCT OSP,ND-RTOFFICE,21-OCT-19
R-ND,ND202010190098264,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,22-OCT-20
R-ND,KIR202103040070662,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,08-MAR-21
R-ND,KAU202105220095811,AB-FTTH,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,02-JUN-21
R-ND,ND202112130089376,AB-FTTH,CREATE,T>1M,IDENTIFY FACILITIES,SALES-SME-WPSE-ACCM,13-DEC-21
R-ND,EMU202012030051796,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,08-DEC-20
R-ND,BS202203070005427,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,RESOLVE CONST ISSUE,ND-CNR,15-MAR-22
R-ND,EMU202002150069323,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,07-MAR-20
R-ND,ND202203250045230,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESERVE PORT,ND-CNR,25-MAR-22
R-ND,GNA202103040079002,AB-FTTH,CREATE,T>1M,IDENTIFY FACILITIES,SALES-SME-METS-ACCM,04-MAR-21
R-ND,ND202204070014722,AB-FTTH,CREATE,T<=7D,INSTALL ONT,ND-CPE-NC,08-APR-22
R-ND,BS202204070002638,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONFIRM SERVICE,ND-RTOFFICE,08-APR-22
R-ND,GNA202002260033369,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,10-MAR-20
R-ND,ND202111120092124,AB-FTTH,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,16-NOV-21
R-ND,KIR202009030027691,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,08-SEP-20
R-ND,EMU202012090083983,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,11-DEC-20
R-ND,KAU202011140001417,AB-FTTH,CREATE-OR,T>1M,WAIT FOR FAB,ND-RSFU,20-NOV-20
R-ND,ND202204010032647,AB-FTTH,CREATE,7D<T<=10D,RESOLVE CONST ISSUE,SALES-SME-METS-ACCM,02-APR-22
R-ND,ND202203160054168,AB-FTTH,CREATE,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,20-MAR-22
R-ND,ND202203160055370,AB-FTTH,CREATE,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,23-MAR-22
R-ND,ND202203070028269,AB-FTTH,CREATE-OR,T>1M,RESOLVE CONST ISSUE,ND-CNR,09-MAR-22
R-ND,ND202112200016903,AB-FTTH,CREATE,T>1M,RESOLVE CONST ISSUE,SALES-ENT-GOV-ACCM,24-DEC-21
R-ND,KAU202204070099404,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONSTRUCT OSP,ND-CPE-NC,07-APR-22
R-ND,ND202203090091824,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,RESOLVE CONST ISSUE,ND-CNR,14-MAR-22
